,author,content,description,publishedAt,source,title,url,urlToImage
113,James Corrigan,"T his was a remarkable round in the swirling winds at Sheshan International. Eight birdies and no bogeys gave him a two-shot lead over fellow Americans Tony Finau and Xander Schauffele. ""It feels great. To be able to come out here and to be the first event ba… [+818 chars]","Patrick Reed did what Patrick Reed has been doing all of his adult golfing life, shaking off the controversy &ndash; perhaps, even using it as motivation &ndash; to leave his rivals in his wake.",2018-10-25T09:55:38Z,"{'id': 'the-telegraph', 'name': 'The Telegraph'}",Patrick Reed shakes off Ryder Cup controversy to shoot first-round 64 at WGC HSBC Champions in Shanghai,https://www.telegraph.co.uk/golf/2018/10/25/patrick-reed-shakes-ryder-cup-controversy-shoot-first-round/,
114,CBS Sports Staff,"The 2018 WGC-HSBC Champions tees off this week from Sheshan Golf Club in China as the PGA Tour continues its three-week swing through Asia. Defending champion Justin Rose and Dustin Johnson are the Vegas favorites at 8-1 WGC-HSBC Champions odds, followed clos… [+2699 chars]","Our advanced computer model simulated this week's 2018 WGC-HSBC Champions 10,000 times",2018-10-22T19:20:19Z,"{'id': None, 'name': 'Cbssports.com'}",WGC-HSBC Champions 2018 odds: Surprising picks by advanced model that nailed Brooks Koepka's CJ Cup win,https://www.cbssports.com/golf/news/wgc-hsbc-champions-2018-odds-surprising-picks-by-advanced-model-that-nailed-brooks-koepkas-cj-cup-win/,https://sportshub.cbsistatic.com/i/r/2018/08/10/f1342baa-7eff-4fad-99a6-4edd9e8bc043/thumbnail/770x433/abf68dc89b8d7e8ecece138bd123275d/brooks-koepka.jpg
115,Kyle Porter,"Most of the top 10 players in the world will tee it up in China this week at the first WGC event of the 2018-19 PGA Tour season. Rory McIlroy, Dustin Johnson, Justin Rose and new No. 1 Brooks Koepka headline a stellar field in Shanghai. As always, the pre-tou… [+861 chars]",Find out when and how to watch the 2018 WGC-HSBC Champions live this week,2018-10-24T15:29:59Z,"{'id': None, 'name': 'Cbssports.com'}","2018 WGC-HSBC Champions: Live stream, watch online, golf start time, TV channel",https://www.cbssports.com/golf/news/2018-wgc-hsbc-champions-live-stream-watch-online-golf-start-time-tv-channel/,https://sportshub.cbsistatic.com/i/r/2018/10/24/970c7010-01dd-4317-acd2-1c676a34355c/thumbnail/770x433/b72ff4fc3cebdf98a41c8c8e70179de4/rory-mcilroy-10-24-18.png
116,David Crow,"Gain access to global coverage from local journalists on the ground in 50+ countries working around the clock to break news, analyze, spot risks and opportunities. Join over 300,000 Finance professionals who already subscribe to the FT.",Probe focuses on competency at global banking and markets division,2018-11-06T18:02:58Z,"{'id': 'financial-times', 'name': 'Financial Times'}",HSBC compliance executive under investigation by FCA,https://www.ft.com/content/e3b315a8-e1d9-11e8-8e70-5e22a430c1ad,https://www.ft.com/__assets/creatives/brand-ft/icons/v3/open-graph.png
117,Associated Press,Xander Schauffele has made it a clean sweep of American winners in the World Golf Championships. Schauffele birdied his last two holes Sunday for a 4-under 68 and then two-putted for birdie on the par-5 18th in a playoff to beat Tony Finau and win the HSBC Ch… [+1121 chars],Xander Schauffele has made it a clean sweep of American winners in the World Golf Championships. Schauffele birdied his last two holes Sunday for a 4-under 68 and then two-putted for birdie on the par-5 18th in a playoff to beat Tony Finau and win the HSBC Ch…,2018-10-28T14:55:00Z,"{'id': None, 'name': 'Latimes.com'}",Golf: Xander Schauffele wins in Shanghai to give U.S. sweep of World Championships,http://www.latimes.com/sports/more/la-sp-golf-20181028-story.html,https://www.latimes.com/resizer/LI-R8rTUZpVG9rpe7mj0cHV2ddk=/1200x0/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/J4GVRNTYNRC2BJ3FH45ZBYBUQQ.jpg
118,Associated Press,Tony Finau closed with three straight birdies for a two-under-par 70 and took advantage of a late collapse by Justin Rose to keep his three-shot lead Saturday in the HSBC Champions in Shanghai. Finau was on the verge of falling three shots behind until he rol… [+959 chars],Tony Finau closed with three straight birdies for a two-under-par 70 and took advantage of a late collapse by Justin Rose to keep his three-shot lead Saturday in the HSBC Champions in Shanghai. Finau was on the verge of falling three shots behind until he rol…,2018-10-27T16:30:00Z,"{'id': None, 'name': 'Latimes.com'}",Golf: Strong finish keeps Tony Finau three shots ahead at HSBC Champions,http://www.latimes.com/sports/more/la-sp-golf-20181027-story.html,https://www.latimes.com/resizer/4Gb0Pgsh0Fmu4sSRioihwgHoxL0=/1200x0/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/WDE3DLERGJFLVHKB2HQTRAPZWY.jpg
119,Reuters Editorial,"TOKYO (Reuters) - The CEO of Mitsubishi UFJ Financial Group’s ( 8306.T ) banking arm will not attend the Future Investment Initiative conference in Saudi Arabia, the group said on Sunday, joining a growing list of business executives to withdraw over concern … [+893 chars]","The CEO of Mitsubishi UFJ Financial Group's <8306.T> banking arm will not attend the Future Investment Initiative conference in Saudi Arabia, the group said on Sunday, joining a growing list of business executives to withdraw over concern about the death of j…",2018-10-21T11:03:41Z,"{'id': 'reuters', 'name': 'Reuters'}",MUFG says bank's CEO will not attend Saudi conference,https://www.reuters.com/article/us-saudi-khashoggi-mufg/mufg-says-banks-ceo-will-not-attend-saudi-conference-idUSKCN1MV0E6,https://s2.reutersmedia.net/resources/r/?m=02&d=20181021&t=2&i=1317062885&w=1200&r=LYNXNPEE9K0GE
120,,"Wednesday 11:00 GMT Whats happening Smiths Group jumped after revealing break-up plans, with the industrial conglomerate planning to separate its medical division from its industrial technology businesses. The news eclipsed first-quarter results showing organ… [+3079 chars]","Next can be the online marketplace of choice for UK clothes brands, says HSBC",2018-11-14T11:57:09Z,"{'id': 'financial-times', 'name': 'Financial Times'}","Stocks to watch: Smiths, Micro Focus, Ferguson, Puma",https://www.ft.com/content/5e93a872-e7f3-11e8-8a85-04b8afea6ea3,https://www.ft.com/__origami/service/image/v2/images/raw/http%3A%2F%2Fprod-upp-image-read.ft.com%2F0ac0630a-e804-11e8-8827-ff56e7163c11?source=next-opengraph&fit=scale-down&width=900
121,,"Friday 11:00 BST Whats happening British Airways owner IAG led Europes airlines higher. IAGs third-quarter results came in slightly ahead of market expectations, with operating profit up 1 per cent at 1.46bn compared with a 1.43bn consensus, as positive cargo… [+4537 chars]","China’s ‘selfie generation’ should give luxury goods makers a soft landing, HSBC says",2018-10-26T10:53:13Z,"{'id': 'financial-times', 'name': 'Financial Times'}","Stocks to watch: IAG, RBS, Valeo, Amazon, LVMH, Moncler, 888",https://www.ft.com/content/fb4af3be-d8f8-11e8-a854-33d6f82e62f8,https://www.ft.com/__origami/service/image/v2/images/raw/http%3A%2F%2Fprod-upp-image-read.ft.com%2Fb3b59c62-d906-11e8-a854-33d6f82e62f8?source=next-opengraph&fit=scale-down&width=900
122,,"Weak earnings, macro worries and risk aversion sent the FTSE 100 to its lowest close since March, with HSBC among the sharpest fallers. HSBC s cash cow Hong Kong operations have been facing cyclical and structural pressures including a loss of market share am… [+822 chars]",HSBC among the sharpest fallers as main index has its lowest close since March,2018-10-23T17:06:19Z,"{'id': 'financial-times', 'name': 'Financial Times'}",Weak earnings and risk aversion hit FTSE 100,https://www.ft.com/content/41b7b758-d6e5-11e8-ab8e-6be0dcf18713,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fwww.ft.com%2F__assets%2Fcreatives%2Fopen-graph%2Fft-v1.jpg?source=next-opengraph&fit=scale-down&width=900
123,info@tabnak.ir,"HSBC, Europe's largest bank, said on Monday its its third-quarter reported pre-tax profit jumped 28 percent from a year ago to $5.922 billion. The bank's revenue for the July-to-September quarter was $13.798 billion, 6.32 percent higher than the same period a… [+3115 chars]","HSBC, Europe's largest bank, said on Monday its its third-quarter reported pre-tax profit jumped 28 percent from a year ago to $5.922 billion.",2018-10-29T04:53:22Z,"{'id': None, 'name': 'Tabnak.ir'}",Europe's largest bank reports a 28 percent rise in pre-tax profit for the third quarter,https://www.tabnak.ir/fa/news/847025/europes-largest-bank-reports-a-28-percent-rise-in-pre-tax-profit-for-the-third-quarter,
124,Anthony Harwood and Jon Lockett,THE website of a Saudi Arabian investment conference was hacked and replaced with a picture of the countrys ruler about to chop off Jamal Khashoggis head. The three-day Future Investment Initiative has already been plagued by high-profile company bosses and f… [+2468 chars],"'Davos in the Desert' website 'hacked... (Third column, 7th story, link ) Related stories: Surveillance video shows Khashoggi 'body double'... Saudi operative in his clothes... Crown prince spoke to journalist moments before death? Scandal Jolts Heir to Thron…",2018-10-22T15:46:41Z,"{'id': None, 'name': 'Thesun.co.uk'}",'Davos in the Desert' website 'hacked...,http://www.thesun.co.uk/news/7555257/saudi-arabias-davos-in-the-desert-website-down-after-being-hacked-with-isis-poster-of-jamal-khashoggi-being-executed-by-crown-prince/,https://www.thesun.co.uk/wp-content/uploads/2018/10/hacked2.png?strip=all&quality=100&w=544&h=380&crop=1
125,Connor Madsen,"Reading Time: ~ 2 min. Data Breach Nabs HSBC Account Info HSBC has been monitoring some unauthorized access occurring over a ten-day period on their customers online accounts. During this time, attackers used credentials that were likely part of prior breache… [+2195 chars]","Reading Time: ~ 2 min. Data Breach Nabs HSBC Account Info HSBC has been monitoring some unauthorized access occurring over a ten-day period on their customer’s online accounts. During this time, attackers used credentials that were likely part of prior breach…",2018-11-09T17:04:55Z,"{'id': None, 'name': 'Webroot.com'}",Cyber News Rundown: HSBC Data Breach,https://www.webroot.com/blog/2018/11/09/cyber-news-rundown-hsbc-data-breach,https://blog-en.webroot.com/wp-content/uploads/2018/11/09101034/Cyber-News-Rundown_bank-breach_800x400.gif
126,Reuters Editorial,"BERLIN (Reuters) - German businessman Friedrich Merz, who is running to replace Chancellor Angela Merkel as leader of the Christian Democratic (CDU) party, disclosed for the first time that he earns about one million euros ($1.14 million) a year, Bild am Sonn… [+1539 chars]","German businessman Friedrich Merz, who is running to replace Chancellor Angela Merkel as leader of the Christian Democratic (CDU) party, disclosed for the first time that he earns about one million euros ($1.14 million) a year, Bild am Sonntag newspaper repor…",2018-11-18T01:06:13Z,"{'id': 'reuters', 'name': 'Reuters'}","'I earn around a million euros', German conservative Merz tells Bild",https://www.reuters.com/article/us-german-politics-idUSKCN1NN00S,https://s2.reutersmedia.net/resources/r/?m=02&d=20181118&t=2&i=1326343462&w=1200&r=LYNXNPEEAH00F
127,Joseph Young,"On October 6, major bitcoin exchange Bitfinex obtained banking services from HSBC with a private account held by a Hong Kong corporation. Less than two weeks after establishing HSBC as its primary bank to handle deposits and withdrawals, Bitfinex has moved to… [+3309 chars]","On October 6, major bitcoin exchange Bitfinex obtained banking services from HSBC with a private account held by a Hong Kong corporation. Less than two weeks after establishing HSBC as its primary bank to handle deposits and withdrawals, Bitfinex has moved to…",2018-10-18T20:59:43Z,"{'id': 'crypto-coins-news', 'name': 'Crypto Coins News'}","Bitfinex Struggles with Banks, Why Are Other Major Bitcoin Exchanges Just Fine?",https://www.ccn.com/bitfinex-struggles-with-banks-why-are-other-major-bitcoin-exchanges-just-fine/,https://www.ccn.com/wp-content/uploads/2018/10/no-vacancy-motel-sign.jpg
128,Al Jazeera,"Saudi Arabia has brushed off an outcry over the killing of journalist Jamal Khashoggi and went ahead with an investment conference boycotted by Western political figures, leading international bankers and A-list executives. The three-day conference - a brainc… [+3179 chars]","Dubbed 'Davos in the desert,' the event has been overshadowed by Riyadh's admission to dissident journalist's killing.",2018-10-23T09:05:05Z,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Saudi investment forum opens under Khashoggi shadow,https://www.aljazeera.com/news/2018/10/saudi-investment-forum-opens-khashoggi-shadow-181023074104589.html,https://www.aljazeera.com/mritems/Images/2018/10/23/5862113fd1bf425b97d3ae117aaa11af_18.jpg
129,Editorial Team,"HSBC's US arm is rolling out technology from Avant for a move into the online personal lending market. HSBC is taping Avant's Amount technology and digital capabilities, which have been used by the fintech to originate nearly $5 billion in loans to more than … [+765 chars]",HSBC's US arm is rolling out technology from Avant for a move into the online personal lending marke...,2018-10-24T23:05:11Z,"{'id': None, 'name': 'Finextra.com'}",HSBC to launch US digital lending platform,https://www.finextra.com/newsarticle/32846/hsbc-to-launch-us-digital-lending-platform?utm_medium=rss&utm_source=finextrafeed,https://www.finextra.com/finextra-images/top_pics/xl/2800.jpg
130,Christopher Powers,"The PGA Tour finishes off its Asian swing this week with the first World Golf Championship of the 2018-'19 season, the WGC-HSBC Champions, held at Sheshan International Golf Club in Shanghai, China. A field of 78 of the world's best players will compete for t… [+2758 chars]","Tee times and viewer's guide for the 2018 WGC-HSBC Champions at Sheshan International Golf Club in Shanghai, China.",2018-10-23T18:17:45Z,"{'id': None, 'name': 'Golfdigest.com'}","2018 WGC-HSBC Champions tee times, viewer's guide",https://www.golfdigest.com/story/2018-wgc-hsbc-champions-tee-times-viewers-guide,https://media.golfdigest.com/photos/5bcf602498f9027c6e054555/master/pass/GettyImages-867678348.jpg
131,Cointelegraph By Helen Partz,,World’s leading trade finance firm HSBC and India’s holding giant Reliance Industries have completed a blockchain-enabled trade finance transaction,2018-11-04T14:09:00Z,"{'id': None, 'name': 'Cointelegraph.com'}",HSBC India Completes Joint Blockchain-Enabled Transaction With India Holding Giant RIL,https://cointelegraph.com/news/hsbc-india-completes-joint-blockchain-enabled-transaction-with-india-holding-giant-ril,https://images.cointelegraph.com/images/740_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS9zdG9yYWdlL3VwbG9hZHMvdmlldy84YjYxNjkyY2I0MzdiODM3ZmJjZjkwYjliNDhiYjYyZi5qcGc=.jpg
132,,Perhaps the idea of traveling across the globe right now was simply not very appealing. Or the period of rest and recovery from a long season of golf was not complete. Maybe he's not a big fan of the Sheshan International course. There are myriad reasons why … [+8836 chars],Tiger suggested this week he is ready to turn his attention to where and when he will play this coming season. We decided to help him out.,2018-10-23T21:23:39Z,"{'id': None, 'name': 'Espn.com'}",What Tiger Woods' schedule could (and should) look like,http://www.espn.com/golf/story/_/id/25064109/what-tiger-woods-schedule-look-2018-2019-golf-season,http://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2018%2F1024%2Fr451941_1296x729_16%2D9.jpg
133,https://www.facebook.com/bbcnews,"Most UK businesses are feeling positive about trade after Brexit, a survey from HSBC suggests. Amanda Murphy, head of commercial banking in the UK, told Wake up to Money: ""We're seeing that more companies have prepared, they are looking at supply chains, they… [+594 chars]","BBC News Business Live: Thursday 1 November BBC News Professor Alex Haslam told the BBC's Asia Business Report that big pay-packets often caused problematic knock-on effects. ""[They can damage] the perceived quality of [the boss's] leadership, and most partic…",2018-11-01T08:03:45Z,"{'id': None, 'name': 'Bbc.com'}",Business Live: Thursday 1 November - BBC News,https://www.bbc.com/news/live/business-45991511,https://www.bbc.co.uk/news/special/2015/newsspec_10857/bbc_news_logo.png?cb=1
134,E. Michael Johnson,"Starting the day three shots behind Tony Finau, Xander Schauffele knew he had to make things happen. I was definitely in sort of an attack mode, and I was hitting good shots all day, making good putts. I was doing everything that I needed to do. That everythi… [+1105 chars]","Xander Schauffele was in ""attack mode"" at the WGC-HSBC Champions and it led to three final birdies and a win in China.",2018-10-28T15:34:33Z,"{'id': None, 'name': 'Golfdigest.com'}",The clubs Xander Schauffele used to win the WGC-HSBC Champions,https://www.golfdigest.com/story/the-clubs-xander-schauffele-used-to-win-the-wgc-hsbc-champions,https://media.golfdigest.com/photos/5bd5d67398f9027c6e0547c7/master/pass/Xander%20Schauffele.jpg
135,Stephen Hennessey,"The first WGC of the season is here, though, yesthe new season just started four weeks ago. Theres no offseason anymore, and that includes anybody playing daily fantasy golf or betting on golf. The WGC-HSBC Champions at Sheshan International Golf Club has a s… [+14915 chars]",Expert picks and analysis from the WGC-HSBC Champions 2018—who do PGA Tour caddies and our expert handicappers think will win?,2018-10-24T18:33:42Z,"{'id': None, 'name': 'Golfdigest.com'}",WGC-HSBC Champions 2018 odds and betting analysis: PGA Tour caddies and expert handicappers predict this week's winners,https://www.golfdigest.com/story/wgc-hsbc-champions-2018-odds-and-betting-analysis-pga-tour-caddies-and-expert-handicappers-predict-this-weeks-winners,https://media.golfdigest.com/photos/5bd0bad768abc505445286fa/master/pass/GettyImages-1015026658.jpg
136,,,"Washington Post Saudi prosecutor arrives in Istanbul for talks on Khashoggi inquiry Washington Post ISTANBUL — Saudi Arabia's chief prosecutor arrived in Istanbul Monday for talks with the Turkish authorities investigating the murder of Jamal Khashoggi, Turke…",2018-10-29T10:10:38Z,"{'id': 'the-washington-post', 'name': 'The Washington Post'}",Saudi prosecutor arrives in Istanbul for talks on Khashoggi inquiry - Washington Post,https://www.washingtonpost.com/world/saudi-prosecutor-arrives-in-istanbul-for-talks-on-khashoggi-inquiry/2018/10/29/39e34e12-d950-11e8-8384-bcc5492fef49_story.html,
137,CBS Sports Staff,The final tournament of the PGA Tour's three-week Asia swing gets underway this week when a star-studded field tees off from Sheshan Golf Club in China starting at 8:50 p.m. ET on Wednesday. The 2018 WGC-HSBC Champions field features four of the top five play… [+3421 chars],"Our advanced computer model simulated this week's 2018 WGC-HSBC Champions 10,000 times",2018-10-24T14:21:50Z,"{'id': None, 'name': 'Cbssports.com'}",WGC-HSBC Champions 2018 odds: Surprising picks by model that predicted Brooks Koepka's CJ Cup victory,https://www.cbssports.com/golf/news/wgc-hsbc-champions-2018-odds-surprising-picks-by-model-that-predicted-brooks-koepkas-cj-cup-victory/,https://sportshub.cbsistatic.com/i/r/2018/04/01/4f99d0e8-6415-4410-9ba1-3550d3773045/thumbnail/770x433/cd25b9248c323d4ef185a54fe9b431d2/ian-poulter.jpg
138,Barbara Kollmeyer,"For financial markets, one takeaway mattered above all others in the midterm electionno curveballs. And thats basically what was delivered as pundits who got it so wrong in 2016 correctly forecast the end of one-party rule this time. With Dems calling the sho… [+7016 chars]","Our call of the day says now that midterms have cleared, the rallying cry is ‘”buy the dip.”",2018-11-07T12:14:00Z,"{'id': None, 'name': 'Marketwatch.com'}","Need to Know: As election clouds clear, get ready for the rush back into U.S. stocks, says strategist",https://www.marketwatch.com/story/as-election-clouds-clear-get-ready-for-the-rush-back-into-us-stocks-says-strategist-2018-11-07,http://s.marketwatch.com/public/resources/MWimages/MW-GX981_clouds_ZG_20181107061511.jpg
139,Cointelegraph By Marie Huillet,,Money 20/20: HSBC executive says blockchain and central bank digital currencies represent a “great challenge” to existing Cross-Border InterBank payment systems,2018-10-24T09:30:00Z,"{'id': None, 'name': 'Cointelegraph.com'}","HSBC Exec at Money20/20: Blockchain, CBDCs Pose ‘Great Challenge’ to Interbank Settlement",https://cointelegraph.com/news/hsbc-exec-at-money20-20-blockchain-cbdcs-pose-great-challenge-to-interbank-settlement,https://images.cointelegraph.com/images/740_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS9zdG9yYWdlL3VwbG9hZHMvdmlldy83NDM1OTNhNDQ3M2EyNmRkODZlZDNjYWZmYzJmNjliOS5qcGc=.jpg
140,,Tony Finau finished with three straight birdies for a 2-under 70 and took advantage of a late collapse by Justin Rose to retain his three-shot lead Saturday in the HSBC Champions in Shanghai. Finau was on the verge of falling three shots behind until he rolle… [+5833 chars],Finau finished with three straight birdies to shoot a 2-under 70 and a three-shot lead headed into the final round of the HSBC Champions.,2018-10-27T23:27:46Z,"{'id': None, 'name': 'Bostonglobe.com'}",Tony Finau rallies late to take three-shot lead in Shanghai,https://www.bostonglobe.com/sports/2018/10/27/tony-finau-rallies-late-take-three-shot-lead-shanghai/z92i0a7TWNc9kHdP2yAVjL/story.html,https://www.bostonglobe.com/rf/image_585w/Boston/2011-2020/2018/10/27/BostonGlobe.com/Sports/Images/f704cf195fc74e9fa877f5590c5fac06-f704cf195fc74e9fa877f5590c5fac06-0.jpg
141,Tatjana Kulkarni,"HSBC Bank USA will join the likes of Betterment, and Acorns by stepping into roboadvisor territory. For the task, HSBC has tapped Providence, R.I.-based wealth management platform Marstone to create a software-based solution that's an end-to-end digital exper… [+114 chars]","HSBC Bank USA will join the likes of Betterment, and Acorns by stepping into roboadvisor territory. For the task, HSBC has tapped Providence, R.I.-based wealth management platform Marstone to create a software-based solution that's an end-to-end digital exper…",2018-10-17T17:51:04Z,"{'id': None, 'name': 'Bankinnovation.net'}",HSBC Bank USA to Launch Roboadvisor,https://bankinnovation.net/2018/10/hsbc-bank-usa-to-launch-roboadvisor/,
142,Ryan Herrington,"An anxious Xander Schauffele, tied for the lead on the final hole of the WGC-HSBC Champions in Shanghai on Sunday, exhaled when his second shot on the par-5 18th hole at Sheshan International stopped just behind the putting green. Trickle a little farther, an… [+1130 chars]",Xander Schauffele's comeback at the WGC-HSBC Champions took an interesting twist on the 18th when Justin Rose's shot hit his ball and knocked it in the water,2018-10-28T11:58:37Z,"{'id': None, 'name': 'Golfdigest.com'}",Watch Justin Rose bizarrely knock Xander Schauffele's ball into the water on the final hole of the WGC-HSBC,https://www.golfdigest.com/story/watch-justin-rose-knock-xander-schauffeles-ball-into-the-water-on-the-final-hole-of-the-wgc-hsbc,https://media.golfdigest.com/photos/5bd5a30568abc5054452894f/master/pass/rose-schauffele-balls-knock-wgc-hsbc-champions-2018.jpg
143,Cointelegraph By Marie Huillet,,"A new blockchain trade finance platform developed by a dozen banks, among them HSBC, BNP Paribas, and Standard Chartered, launched Oct. 31 in Hong Kong.",2018-11-02T10:39:00Z,"{'id': None, 'name': 'Cointelegraph.com'}","HSBC, BNP Paribas, StanChart, Others Launch Hong Kong Blockchain Trade Finance Platform",https://cointelegraph.com/news/hsbc-bnp-paribas-stanchart-others-launch-hong-kong-blockchain-trade-finance-platform,https://images.cointelegraph.com/images/740_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS9zdG9yYWdlL3VwbG9hZHMvdmlldy83NzM2N2NhODhlZGVjYzNiMDBkYTc3MzUwZmNlMTY0ZS5qcGc=.jpg
144,,"Xander Schauffele gave the Americans a sweep of the World Golf Championships and quickly put a winless sophomore season behind him. Schauffele made birdie on his final three holes Sunday, the last one a two-putt birdie from about 30 feet on the par-5 18th hol… [+5309 chars]",Schauffele beat Tony Finau to give the Americans a clean sweep of the World Golf Championships.,2018-10-28T23:20:27Z,"{'id': None, 'name': 'Bostonglobe.com'}",Xander Schauffele captures HSBC Champions in sudden death playoff,https://www.bostonglobe.com/sports/2018/10/28/xander-schauffele-captures-hsbc-champions-sudden-death-playoff/gQkeyKJaJ376RnJ89tOwTO/story.html,https://www.bostonglobe.com/rf/image_585w/Boston/2011-2020/2018/10/28/BostonGlobe.com/Sports/Images/1054581558.jpg
145,,"Tuesday 11:00 BST Whats happening AMS of Austria led the Stoxx 600 fallers after the chipmaker warned that fourth-quarter profitability would be significantly weaker than market expectations. The company, which supplies 3D depth sensors used in Apples iPhone,… [+4163 chars]","Look to Italy for the next wave of luxury goods takeovers, says Berenberg",2018-10-23T10:53:54Z,"{'id': 'financial-times', 'name': 'Financial Times'}","Stocks to watch: AMS, HSBC, Moncler, Prada, CYBG",https://www.ft.com/content/2b1d1bd0-d6a1-11e8-a854-33d6f82e62f8,https://www.ft.com/__origami/service/image/v2/images/raw/http%3A%2F%2Fprod-upp-image-read.ft.com%2F3f863218-d6b1-11e8-aa22-36538487e3d0?source=next-opengraph&fit=scale-down&width=900
146,Emily Price,"If youre considering relocating to a different country for work, some destinations are better than others. HSBC recently conducted its annual Expat Explorer survey, a global survey that looks at 22,318 expats across 163 different countries. When comparing cou… [+1221 chars]","If you’re considering relocating to a different country for work, some destinations are better than others. HSBC recently conducted its annual Expat Explorer survey, a global survey that looks at 22,318 expats across 163 different countries. When comparing co…",2018-10-22T10:30:00Z,"{'id': None, 'name': 'Lifehacker.com.au'}","Want To Be A Successful, Happy Expat? Move To Singapore",https://www.lifehacker.com.au/2018/10/these-are-the-best-countries-for-expats-to-work-in/,https://edge.alluremedia.com.au/m/l/2018/10/Singapore-768x432.jpg
147,,"HSBC is on track to become the first foreign company to trade on a Chinese bourse under plans by a new stock exchange link between London and Shanghai. In a move that has been in the making for more than a decade, the London-Shanghai stock connect plans to ma… [+3572 chars]",New stock exchange link between London and Shanghai targets bank as its first offering,2018-10-18T05:55:00Z,"{'id': 'financial-times', 'name': 'Financial Times'}",HSBC set to become first foreign company to list in China,https://www.ft.com/content/e9b519b8-d28b-11e8-a9f2-7574db66bcd5,https://www.ft.com/__origami/service/image/v2/images/raw/http%3A%2F%2Fprod-upp-image-read.ft.com%2F67084c24-d295-11e8-9a3c-5d5eac8f1ab4?source=next-opengraph&fit=scale-down&width=900
148,Bloomberg,"By: Bloomberg | Updated: October 22, 2018 11:37:18 am SoftBank Group Corp. founder Masayoshi Son remains one of the few business chiefs who hasnt pulled out of this years event. (File) Its an investment summit in the shadow of a killing: stripped of the glitz… [+5401 chars]",The killing of government critic Jamal Khashoggi prompted dozens of finance and business leaders to pull out of the three-day conference meant to showcase the opportunities created by reform efforts to break the economy’s dependence on oil.,2018-10-22T05:59:43Z,"{'id': None, 'name': 'Indianexpress.com'}",Saudi Arabia summit loses its swagger as elites question kingdom,https://indianexpress.com/article/world/saudi-arabia-summit-loses-its-swagger-as-elites-question-kingdom-5412179/,https://images.indianexpress.com/2016/07/softbank-ceo-masayoshi-son-759-reuters.jpg?w=759
149,,"Monday 11:00 GMT Whats happening HSBC climbed after its third-quarter results beat expectations thanks to loan growth and cost-cutting, with adjusted pre-tax profit of $6.2bn coming in 8 per cent ahead of the consensus forecast. Impairments were slightly more… [+2420 chars]","Uber and Deliveroo growth augers ‘demise’ of rival takeaway ordering website, says Peel Hunt",2018-10-29T11:51:44Z,"{'id': 'financial-times', 'name': 'Financial Times'}","Stocks to watch: Just Eat, HSBC, Metro Bank, AB InBev",https://www.ft.com/content/69caa9cc-db62-11e8-9f04-38d397e6661c,https://www.ft.com/__origami/service/image/v2/images/raw/http%3A%2F%2Fprod-upp-image-read.ft.com%2F325f0bfa-db70-11e8-b173-ebef6ab1374a?source=next-opengraph&fit=scale-down&width=900
150,PTI,"By: PTI | Pune | Published: October 31, 2018 3:03:42 pm Kevin Anderson has confirmed his presence in the second edition of the Tata Open Maharashtra in 2019. (Reuters/File Photo) World number six Kevin Anderson has confirmed his presence in the second edition… [+1927 chars]",Kevin Anderson just became the first South African in over two decades to qualify for the season-ending ATP Tour Finals after beating Japan's Kei Nishikori in the finals of Vienna Open on Sunday.,2018-10-31T09:33:42Z,"{'id': None, 'name': 'Indianexpress.com'}",World no 6 Kevin Anderson to participate in 2019 Tata Open,https://indianexpress.com/article/sports/tennis/world-no-6-kevin-anderson-to-participate-in-2019-tata-open-5427346/,https://images.indianexpress.com/2018/07/kevin-anderson-7591.jpg?w=759
151,AP,"SHANGHAI (AP) — Brooks Koepka is having the kind of year he only imagined in his dreams, and he’s not ready for it to end. In June, he became the first player in 29 years to win back-to-back in the U.S. Open. In August, he played some his best golf amid ear-s… [+3905 chars]",Brooks Koepka at No. 1 in the world and looking for a strong finishing kick to a dream year,2018-10-24T07:08:05Z,"{'id': 'fox-sports', 'name': 'Fox Sports'}",Koepka makes debut at No. 1 and hopes to keep rolling,https://www.foxsports.com/golf/story/koepka-makes-debut-at-no-1-and-hopes-to-keep-rolling-102418,https://b.fssta.com/uploads/2018/10/c30f57f748a4453ab335bce72bce81d7.vresize.1200.630.high.46.jpg
